省份,总人数,男性人数,女性人数
北京,8121,3975,4146
天津,3458,1816,1643
河北,6427,3198,3229
山西,4445,2245,2200
内蒙古,3794,1955,1839
辽宁,5724,2970,2755
吉林,2881,1459,1422
黑龙江,4155,2147,2009
上海,5989,3106,2883
江苏,9281,4850,4430
浙江,7005,3573,3431
安徽,5867,3410,2457
福建,3965,2103,1861
江西,3490,1871,1619
山东,9700,5060,4640
河南,6766,3385,3381
湖北,7058,4165,2895
湖南,6179,3120,3061
广东,10672,5824,4848
广西,2596,1350,1246
海南,1174,520,654
重庆,3594,1886,1709
四川,8252,4087,4165
贵州,2488,1326,1161
云南,3635,1851,1784
西藏,203,106,97
陕西,5168,2650,2518
甘肃,2517,1363,1155
青海,652,366,286
宁夏,680,333,348
新疆,3166,1551,1614
