省份,总人口数,男性人口数,女性人口数
北京,17801,9017,8784
天津,12778,6725,6053
河北,62086,31523,30563
山西,30550,15887,14664
内蒙古,20849,10465,10384
辽宁,35969,17996,17973
吉林,22424,11346,11078
黑龙江,31251,15919,15332
上海,19826,10085,9740
江苏,66100,33542,32558
浙江,46573,24550,22023
安徽,51658,26449,25209
福建,32221,16435,15786
江西,38163,19840,18323
山东,82502,41595,40907
河南,79005,40370,38635
湖北,48684,25090,23594
湖南,56647,28560,28087
广东,91922,48859,43063
广西,40385,21080,19305
海南,7640,4002,3638
重庆,25337,12641,12696
四川,68609,34633,33976
贵州,29612,15323,14290
云南,39709,20564,19145
西藏,2797,1404,1393
陕西,31649,15615,16034
甘肃,21720,11035,10685
青海,4939,2541,2399
宁夏,5627,2769,2858
新疆,20210,10211,9999
