省份,2018年,2017年,2016年
北京,30319.98,28014.94,25669.13
天津,18809.64,18549.19,17885.39
河北,36010.27,34016.32,32070.45
山西,16818.11,15528.42,13050.41
内蒙古,17289.22,16096.21,18128.1
辽宁,25315.35,23409.24,22246.9
吉林,15074.62,14944.53,14776.8
黑龙江,16361.62,15902.68,15386.09
上海,32679.87,30632.99,28178.65
江苏,92595.4,85869.76,77388.28
浙江,56197.15,51768.26,47251.36
安徽,30006.82,27018,24407.62
福建,35804.04,32182.09,28810.58
江西,21984.78,20006.31,18499
山东,76469.67,72634.15,68024.49
河南,48055.86,44552.83,40471.79
湖北,39366.55,35478.09,32665.38
湖南,36425.78,33902.96,31551.37
广东,97277.77,89705.23,80854.91
广西,20352.51,18523.26,18317.64
海南,4832.05,4462.54,4053.2
重庆,20363.19,19424.73,17740.59
四川,40678.13,36980.22,32934.54
贵州,14806.45,13540.83,11776.73
云南,17881.12,16376.34,14788.42
西藏,1477.63,1310.92,1151.41
陕西,24438.32,21898.81,19399.59
甘肃,8246.07,7459.9,7200.37
青海,2865.23,2624.83,2572.49
宁夏,3705.18,3443.56,3168.59
新疆,12199.08,10881.96,9649.7
